Titlul cursului,Acronim,Dependente de alte cursuri,Element cheie 1,Element cheie 2,Element cheie 3,Element cheie 4,Link fisa disciplina
"Baze de date",MI_2_2_BDD,MI_1_2_SDD,Model relational,SQL,Normalizare,Tranzactii,https://cursuri.fmi.unibuc.ro/course/view.php?id=25
"Ecuatii diferentiale",MI_2_2_ECD,MI_1_2_ANM2,Ecuatii liniare,Sisteme diferentiale,Stabilitate,Metode numerice,https://cursuri.fmi.unibuc.ro/course/view.php?id=26
"Retele de calculatoare",MI_2_2_RDC,MI_2_1_SDO,Protocoale,Adresare IP,Topologii,Securitate retele,https://cursuri.fmi.unibuc.ro/course/view.php?id=29
"Anul 3, Semestrul 1",,,,,,,,
"Analiza complexa",MI_3_1_ANC,MI_2_1_ANM_3,Functii analitice,Integrale complexe,Teorema reziduurilor,Transformari conforme,https://cursuri.fmi.unibuc.ro/course/view.php?id=31
Topologie,MI_3_1_TOP,MI_2_1_ANM_3,Spatii topologice,Conexitate,Compactitate,Omotopie,https://cursuri.fmi.unibuc.ro/course/view.php?id=32
"Teoria numerelor",MI_3_1_TNR,MI_1_2_ALG2,Numere prime,Congruente,Functii aritmetice,Ecuatii diofantiene,https://cursuri.fmi.unibuc.ro/course/view.php?id=33
"Programare avansata",MI_3_1_PRA,MI_2_1_POO,Design patterns,Algoritmi complecsi,Optimizare cod,Structuri avansate,https://cursuri.fmi.unibuc.ro/course/view.php?id=40
"Modele matematice",MI_3_1_MMT,MI_2_2_ECD,Modelare fizica,Modelare biologica,Simulari,Optimizare,https://cursuri.fmi.unibuc.ro/course/view.php?id=34
"Anul 3, Semestrul 2",,,,,,,,
"Analiza functionala",MI_3_2_ANF,MI_2_1_ANM_3,Spatii Banach,Spatii Hilbert,Operatori,Teorema Hahn-Banach,https://cursuri.fmi.unibuc.ro/course/view.php?id=35
"Matematica computationala",MI_3_2_MTC,MI_2_2_ANN,Algoritmi numerici,Simulari computationale,Programare matematica,Erori si stabilitate,https://cursuri.fmi.unibuc.ro/course/view.php?id=37
"Inteligenta artificiala",MI_3_2_INA,MI_2_1_PSS,Invatare automata,Retele neuronale,Procesare date,Algoritmi genetici,https://cursuri.fmi.unibuc.ro/course/view.php?id=41
Practica,MI_3_2_PRC,"MI_3_1_PRA, MI_3_2_INA, MI_2_2_BDD",Aplicarea cunostintelor,Proiect individual,Analiza de date,Prezentare rezultate,https://cursuri.fmi.unibuc.ro/course/view.php?id=38
"Securitate informatica (optional)",MI_3_2_SCI,MI_2_2_RDC,Criptografie,Atacuri cibernetice,Protectie date,Audit securitate,https://cursuri.fmi.unibuc.ro/course/view.php?id=42
